店舗,Net_vsLY,TR_vsLY,ATV_vsLY,FP売上_vsLY,MD構成比_delta_pt,象限,risk_score,備考
京都BAL,-38.6%,-43.4%,+8.6%,-43.2%,6.099999999999998,TR減/ATV増（単価依存）,0.36075,人員8→10名/存続要判断
京都伊勢丹ACC,-24.9%,-26.9%,+2.7%,-29.2%,5.200000000000001,TR減/ATV増（単価依存）,0.2352,人員6→9名/ACC業態
渋谷スクランブル,-20.8%,-28.2%,+10.3%,-28.7%,9.5,TR減/ATV増（単価依存）,0.22929999999999995,
銀座三越ACC,-15.1%,-17.2%,+2.5%,-32.3%,19.0,TR減/ATV増（単価依存）,0.20509999999999998,ACC業態
新宿伊勢丹GF,-14.3%,-9.8%,-5.1%,-26.9%,13.7,TR減/ATV減（二重苦）,0.16234999999999997,ACC業態
表参道,-8.2%,-20.3%,+15.2%,-16.6%,8.4,TR減/ATV増（単価依存）,0.13355,新規-20.5%
名古屋ラシック,-10.1%,-21.4%,+14.4%,-13.0%,2.9000000000000004,TR減/ATV増（単価依存）,0.12569999999999998,
梅田阪急ウォモ,-7.3%,-21.2%,+17.6%,-10.7%,3.200000000000001,TR減/ATV増（単価依存）,0.11009999999999999,
梅田阪急ACC,-8.9%,-6.1%,-3.0%,-16.3%,7.8,TR減/ATV減（二重苦）,0.09885000000000001,店長交代/バッグ+小物100%構成
新宿伊勢丹ドンナ,-1.6%,-14.4%,+15.0%,-12.6%,8.8,TR減/ATV増（単価依存）,0.0863,
札幌丸井今井,-7.0%,-10.2%,+3.7%,-10.6%,3.0,TR減/ATV増（単価依存）,0.081,
横浜高島屋,-3.1%,-16.0%,+15.4%,-8.5%,4.600000000000001,TR減/ATV増（単価依存）,0.079,
玉川高島屋,-0.9%,-15.1%,+16.7%,-9.7%,7.199999999999999,TR減/ATV増（単価依存）,0.07595,
福岡岩田屋,+1.0%,-14.7%,+18.5%,-6.1%,6.1,TR減/ATV増（単価依存）,0.061149999999999996,
阪急メンズ東京,+0.2%,-2.1%,+2.3%,-10.9%,9.8,TR減/ATV増（単価依存）,0.0472,人員12→6名
新宿伊勢丹ウォモ,+6.7%,-9.6%,+18.0%,-3.3%,8.100000000000001,TR減/ATV増（単価依存）,0.0444,人員9→17名
日本橋三越,+2.1%,-8.2%,+11.2%,-4.9%,5.5,TR減/ATV増（単価依存）,0.041,
神戸阪急,+2.9%,-12.8%,+18.1%,-0.8%,3.299999999999999,TR減/ATV増（単価依存）,0.03895,
京都大丸,+0.5%,-15.2%,+18.4%,+0.3%,0.1999999999999993,TR減/ATV増（単価依存）,0.0383,
名古屋松坂屋,+7.7%,-0.6%,+8.4%,-7.3%,11.7,TR減/ATV増（単価依存）,0.0373,
銀座シックス,-1.2%,-12.9%,+13.4%,+0.7%,-1.6999999999999993,TR減/ATV増（単価依存）,0.03645,人員9→13名
銀座三越,+4.2%,-8.8%,+14.3%,+6.7%,-1.7999999999999972,TR減/ATV増（単価依存）,0.022000000000000002,
大阪高島屋,+17.1%,+10.1%,+6.3%,+8.3%,6.199999999999999,TR増/ATV増,0.0093,改装後
梅田阪急ドンナ,+31.9%,+9.8%,+20.0%,+28.8%,1.8000000000000007,TR増/ATV増,0.0027000000000000006,店長交代
心斎橋大丸,+19.3%,+2.0%,+17.0%,+24.3%,-3.4000000000000004,TR増/ATV増,0.0,改装後
