KPI,単位,2025_H1,2026_H1,vsLY
Net売上,百万円,2215.9,2223.0,+0.3%
TR(客数),件,17496,15609,-10.8%
ATV,円,126654,142415,+12.4%
UPT,倍,1.26,1.29,+2.7%
AP(1点単価),円,100610,110118,+9.5%
数量,点,22025,20187,-8.3%
顧客数(登録),人,13617,12389,-9.0%
スタッフ数,人,154,156,+1.3%
1人当たり売上,百万円,14.4,14.2,-1.4%
既存店ベース売上(渋谷パルコ1F除く25ドア),,,,-1.4%
既存店ベースTR(渋谷パルコ1F除く25ドア),,,,-12.9%
既存店ベースATV(渋谷パルコ1F除く25ドア),,,,+13.2%
1点買いTR比率,%,83.9,81.4,-2.5pt
2点以上TR比率,%,16.1,18.6,+2.5pt
2点以上の売上構成比,%,34.6,38.5,+3.9pt
1点買いATV,円,99146,108249,+9.2%
2点以上ATV,円,272527,296897,+8.9%
FP(プロパー)売上,百万円,1884,1770,-6.0%
FP構成比,%,85.0,79.6,-5.4pt
MD(セール)売上,百万円,332,453,+36.3%
MD構成比,%,15.0,20.4,+5.4pt
平均値引率,%,39.7,39.7,横ばい
