区分,月,2025_New_件数,2025_New_ATV円,2025_New_金額円,2025_既存_件数,2025_既存_ATV円,2025_既存_金額円,2025_合計_件数,2025_合計_ATV円,2025_合計_金額円,2024_New_件数,2024_New_ATV円,2024_New_金額円,2024_既存_件数,2024_既存_ATV円,2024_既存_金額円,2024_合計_件数,2024_合計_ATV円,2024_合計_金額円,vsPY_合計件数,vsPY_合計ATV,vsPY_合計金額
上期計,1st_half_total,12528,110634,1386025090,4968,167050,829904240,17496,126653,2215929330,18347,98087,1799605736,5091,150253,764939313,23438,109418,2564545049,-25%,16%,-14%
月次,Jan,2690,97179,261410924,976,140737,137359640,3666,108775,398770564,3895,86243,335915792,1028,117635,120928310,4923,92798,456844102,-26%,17%,-13%
月次,Feb,1568,121400,190355412,655,221398,145015910,2223,150864,335371322,2158,102093,220317336,738,190770,140788170,2896,124691,361105506,-23%,21%,-7%
月次,Mar,2033,117370,238614060,710,197654,140334430,2743,138151,378948490,3031,99999,303097340,804,170688,137233190,3835,114819,440330530,-28%,20%,-14%
月次,Apr,1972,111854,220576872,729,154348,112519970,2701,123324,333096842,2801,104485,292663350,667,162507,108391978,3468,115645,401055328,-22%,7%,-17%
月次,May,1990,114153,227165280,616,146243,90085770,2606,121739,317251050,2940,104145,306186480,620,131996,81837345,3560,108995,388023825,-27%,12%,-18%
月次,Jun,2275,108968,247902542,1282,159585,204588520,3557,127211,452491062,3522,96941,341425438,1234,142431,175760320,4756,108744,517185758,-25%,17%,-13%
下期計,2nd_half_total,10345,124030,1283093714,3496,195501,683470380,13841,142083,1966564094,15156,104243,1579900347,3622,165512,599484918,18778,116061,2179385265,-26%,22%,-10%
月次,Jul,2522,104852,264435686,747,143974,107548480,3269,113791,371984166,4026,92577,372716017,838,117554,98509990,4864,96880,471226007,-33%,17%,-21%
月次,Aug,1668,123175,205455150,502,208923,104879550,2170,143011,310334700,2557,103103,263634320,548,183188,100386905,3105,117237,364021225,-30%,22%,-15%
月次,Sep,1490,140221,208929410,657,225744,148314010,2147,166392,357243420,2192,112889,247451650,586,210508,123357461,2778,133481,370809111,-23%,25%,-4%
月次,Oct,1690,138070,233338760,520,199527,103753880,2210,152531,337092640,2008,120940,242847510,478,195065,93241180,2486,135193,336088690,-11%,13%,0%
月次,Nov,1738,127888,222270080,510,187750,95752410,2248,141469,318022490,2738,101580,278124700,601,141092,84796082,3339,108691,362920782,-33%,30%,-12%
月次,Dec_MTD,1237,120182,148664628,560,220039,123222050,1797,151300,271886678,1635,107111,175126150,571,173719,99193300,2206,124352,274319450,-19%,22%,-1%
年計,総計,22873,116693,2669118804,8464,178801,1513374620,31337,133468,4182493424,33503,100872,3379506083,8713,156596,1364424231,42216,112373,4743930314,-26%,19%,-12%
