店舗,BDG_EUR,Active顧客数,Rev_from_Active_EUR,Lost顧客数_2022_2024,Rev_from_Lost_EUR,Rest_of_DB件数,Rev_from_DB_EUR,Total_Revenue_EUR,Clientelling_Share,FTE
ISETAN SHINJUKU(PJ1),2180000,1143,374447,987,104227,6157,125603,604277,28%,8
ISETAN SHINJUKU ACC,710000,408,133661,352,37171,2197,44819,215651,30%,4
OSAKA TAKASHIMAYA,970000,429,140540,371,39178,2314,47206,226924,23%,6
FUKUOKA IWATAYA,1270000,664,217526,574,60614,3581,73052,351193,28%,6
TAMAGAWA TAKASHIMAYA,710000,420,137592,362,38227,2259,46084,221903,31%,4
HANKYU UMEDA,1810000,840,275184,726,76666,4532,92453,444302,25%,10
NIHONBASHI MITSUKOSHI,1150000,637,208681,550,58080,3436,70094,336856,29%,5
GINZA MITSUKOSHI,1530000,778,254873,671,70858,4196,85598,411329,27%,7
DAIMARU KYOTO,610000,381,124816,329,34742,2057,41963,201521,33%,5
GINZA MITSUKOSHI ACC,700000,403,132023,347,36643,2168,44227,212893,30%,5
HANKYU UMEDA ACC,540000,321,105160,277,29251,1729,35272,169682,31%,4
ISETAN MENS SHINJUKU,1240000,693,227027,599,63254,3737,76235,366516,30%,5
HANKYU MENS TOKYO,630000,446,146110,386,40762,2408,49123,235994,37%,5
YOKOHAMA TAKASHIMAYA,840000,521,170680,451,47626,2812,57365,275670,33%,5
KYOTO BAL,510000,380,124488,329,34742,2051,41840,201071,39%,5
TOKYO OMOTESANDO,2520000,1602,524815,1384,146150,8638,176215,847181,34%,11
JR KYOTO ISETAN,450000,275,90090,237,25027,1482,30233,145350,32%,4
NAGOYA LACHIC,1020000,624,204422,539,56918,3365,68646,329987,32%,6
SHINSAIBASHI,1100000,589,192956,509,53750,3182,64913,311620,28%,9
GINZA SIX,2580000,1580,517608,1365,144144,8519,173788,835540,32%,8
SAPPORO MARUI IMAI,670000,463,151679,399,42134,2486,50714,244528,36%,4
KOBE HANKYU,640000,412,134971,355,37488,2212,45125,217584,34%,5
SHIBUYA SCRAMBLE,680000,435,142506,376,39706,2339,47716,229927,34%,5
MATSUZAKAYA NAGOYA,650000,325,106470,281,29674,1745,35598,171742,26%,5
FLOWER_CAFE,1690000,993,325307,858,90605,5330,108732,524644,31%,10
HANKYU MENS OSAKA,770000,502,164455,434,45830,2699,55060,265345,34%,5
Shibuya_Parco,750000,0,0,0,0,0,0,0,0%,9
