店舗,Net_vsLY,TR_vsLY,ATV_vsLY,FP売上_vsLY,MD構成比_2025,MD構成比_2026,RTW購入客比率_2026,顧客1人当たり売上_2026_千円,備考
梅田阪急ドンナ,+31.9%,+9.8%,+20.0%,+28.8%,21.9%,23.7%,33.5%,171,店長交代
心斎橋大丸,+19.3%,+2.0%,+17.0%,+24.3%,18.8%,15.4%,40.3%,175,改装後
大阪高島屋,+17.1%,+10.1%,+6.3%,+8.3%,18.0%,24.2%,40.1%,195,改装後
名古屋松坂屋,+7.7%,-0.6%,+8.4%,-7.3%,15.7%,27.4%,30.1%,155,
新宿伊勢丹ウォモ,+6.7%,-9.6%,+18.0%,-3.3%,14.2%,22.3%,56.8%,153,人員9→17名
銀座三越,+4.2%,-8.8%,+14.3%,+6.7%,25.4%,23.6%,66.2%,217,
神戸阪急,+2.9%,-12.8%,+18.1%,-0.8%,9.8%,13.1%,26.3%,151,
日本橋三越,+2.1%,-8.2%,+11.2%,-4.9%,20.6%,26.1%,54.2%,232,
福岡岩田屋,+1.0%,-14.7%,+18.5%,-6.1%,13.1%,19.2%,38.5%,175,
京都大丸,+0.5%,-15.2%,+18.4%,+0.3%,19.3%,19.5%,38.9%,184,
阪急メンズ東京,+0.2%,-2.1%,+2.3%,-10.9%,12.2%,22.0%,55.8%,177,人員12→6名
玉川高島屋,-0.9%,-15.1%,+16.7%,-9.7%,18.5%,25.7%,26.7%,179,
銀座シックス,-1.2%,-12.9%,+13.4%,+0.7%,14.0%,12.3%,43.6%,183,人員9→13名
新宿伊勢丹ドンナ,-1.6%,-14.4%,+15.0%,-12.6%,20.8%,29.6%,48.7%,204,
横浜高島屋,-3.1%,-16.0%,+15.4%,-8.5%,17.7%,22.3%,18.6%,143,
札幌丸井今井,-7.0%,-10.2%,+3.7%,-10.6%,23.0%,26.0%,36.2%,201,
梅田阪急ウォモ,-7.3%,-21.2%,+17.6%,-10.7%,12.2%,15.4%,49.5%,133,
表参道,-8.2%,-20.3%,+15.2%,-16.6%,7.9%,16.3%,29.4%,162,新規-20.5%
梅田阪急ACC,-8.9%,-6.1%,-3.0%,-16.3%,3.8%,11.6%,0.0%,104,店長交代/バッグ+小物100%構成
名古屋ラシック,-10.1%,-21.4%,+14.4%,-13.0%,12.2%,15.1%,19.7%,138,
新宿伊勢丹GF,-14.3%,-9.8%,-5.1%,-26.9%,6.5%,20.2%,0.0%,108,ACC業態
銀座三越ACC,-15.1%,-17.2%,+2.5%,-32.3%,5.9%,24.9%,0.3%,136,ACC業態
渋谷スクランブル,-20.8%,-28.2%,+10.3%,-28.7%,4.7%,14.2%,17.9%,113,
京都伊勢丹ACC,-24.9%,-26.9%,+2.7%,-29.2%,10.7%,15.9%,4.8%,126,人員6→9名/ACC業態
京都BAL,-38.6%,-43.4%,+8.6%,-43.2%,18.1%,24.2%,33.7%,143,人員8→10名/存続要判断
渋谷パルコ1F,+347.9%,+300.8%,+11.7%,+317.1%,10.6%,16.8%,19.4%,104,2025年5月新規オープンにつき既存店比較の対象外
