RBOコード,店舗名_日本語,店舗名_英語,Comp_NonComp,業態,オープン日
5422,マルニ表参道,MARNI OMOTESANDO,Comp,SIS,2019-04-26
4247,マルニ伊勢丹新宿本店,MARNI ISETAN SHINJUKU,Comp,DPS,2000-01-01
4260,マルニ伊勢丹新宿本店ACC,MARNI ISETAN SHINJUKU ACC,Comp,DPS,2014-01-01
4248,マルニ伊勢丹新宿本店MEN,MARNI ISETAN SHINJUKU MEN,Comp,DPS,2013-01-01
7505,マルニ渋谷スクランブルスクエア,MARNI SHIBUYA SCRAMBLE SQUARE,Comp,DPS,2024-03-01
8214,マルニ渋谷パルコ,MARNI SHIBUYA PARCO,Non-comp,DPS,2025-05-23
4258,マルニ阪急メンズ東京,MARNI HANKYU MENS TOKYO,Comp,DPS,2011-10-15
4246,マルニ銀座三越,MARNI GINZA MITSUKOSHI,Comp,DPS,2010-09-11
5485,マルニ銀座三越ACC,MARNI GINZA MITSUKOSHI ACC,Comp,DPS,2021-02-03
5148,マルニGINZA_SIX,MARNI GINZA SIX,Non-comp,SIS,2017-04-20
4253,マルニ日本橋三越,MARNI NIHONBASHI MITSUKOSHI,Comp,DPS,2013-02-27
4255,マルニ玉川高島屋SC,MARNI TAMAGAWA TAKASHIMAYA S.C,Comp,SIS,2010-10-01
4259,マルニ横浜高島屋,MARNI YOKOHAMA TAKASHIMAYA,Comp,DPS,2015-04-04
4262,マルニ札幌丸井今井,MARNI SAPPORO MARUI IMAI,Comp,DPS,2015-09-17
5912,マルニ名古屋ラシック,MARNI NAGOYA LACHIC,Comp,DPS,2021-01-20
7507,マルニ松坂屋名古屋,MARNI MATSUZAKAYA NAGOYA,Comp,DPS,2024-11-29
4256,マルニ阪急うめだ本店,MARNI HANKYU UMEDA,Comp,DPS,2002-01-01
6155,マルニ阪急うめだ本店ACC,MARNI HANKYU UMEDA ACC,Comp,DPS,2022-04-01
4257,マルニ阪急メンズ大阪,MARNI HANKYU MENS OSAKA,Comp,DPS,2008-01-01
4252,マルニ大阪高島屋,MARNI OSAKA TAKASHIMAYA,Non-comp,DPS,2010-03-02
4254,マルニ大丸心斎橋,MARNI DAIMARU SHINSAIBASHI,Non-comp,DPS,2012-09-21
4249,マルニ大丸京都,MARNI DAIMARU KYOTO,Comp,DPS,2012-01-01
4263,マルニ京都BAL,MARNI KYOTO BAL,Comp,SIS,2015-08-21
5638,マルニJR京都伊勢丹ACC,MARNI JR KYOTO ISETAN ACC,Comp,DPS,2020-02-26
6426,マルニ神戸阪急,MARNI KOBE HANKYU,Comp,DPS,2022-08-31
4245,マルニ福岡岩田屋,MARNI FUKUOKA IWATAYA,Comp,DPS,2004-01-01
8205,MARNI_CAFE_GINZA_SIX,MARNI CAFE,Non-comp,DPS,2025-09-05
4884,マルニ三井アウトレットパーク木更津,MARNI MITSUI OUTLET PARK KISARAZU,,Outlet,2014-07-17
4271,マルニ御殿場プレミアムアウトレット,MARNI PREMIUM OUTLET GOTEMBA,,Outlet,2008-03-25
5421,マルニ神戸三田プレミアムアウトレット,MARNI PREMIUM OUTLET KOBESANDA,,Outlet,2018-10-11
8201,マルニ軽井沢ショッピングプラザ,MARNI KARUIZAWA SHOPPING PLAZA,Non-comp,Outlet,2025-04-18
